mass,ctau,acc_lxybin1_ptbin1_isobin1,nevt_lxybin1_ptbin1_isobin1,acc_lxybin1_ptbin1_isobin2,nevt_lxybin1_ptbin1_isobin2,acc_lxybin1_ptbin1_isobin3,nevt_lxybin1_ptbin1_isobin3,acc_lxybin1_ptbin2_isobin1,nevt_lxybin1_ptbin2_isobin1,acc_lxybin1_ptbin2_isobin2,nevt_lxybin1_ptbin2_isobin2,acc_lxybin1_ptbin2_isobin3,nevt_lxybin1_ptbin2_isobin3,acc_lxybin2_ptbin1_isobin1,nevt_lxybin2_ptbin1_isobin1,acc_lxybin2_ptbin1_isobin2,nevt_lxybin2_ptbin1_isobin2,acc_lxybin2_ptbin1_isobin3,nevt_lxybin2_ptbin1_isobin3,acc_lxybin2_ptbin2_isobin1,nevt_lxybin2_ptbin2_isobin1,acc_lxybin2_ptbin2_isobin2,nevt_lxybin2_ptbin2_isobin2,acc_lxybin2_ptbin2_isobin3,nevt_lxybin2_ptbin2_isobin3,acc_lxybin3_ptbin1_isobin1,nevt_lxybin3_ptbin1_isobin1,acc_lxybin3_ptbin1_isobin2,nevt_lxybin3_ptbin1_isobin2,acc_lxybin3_ptbin1_isobin3,nevt_lxybin3_ptbin1_isobin3,acc_lxybin3_ptbin2_isobin1,nevt_lxybin3_ptbin2_isobin1,acc_lxybin3_ptbin2_isobin2,nevt_lxybin3_ptbin2_isobin2,acc_lxybin3_ptbin2_isobin3,nevt_lxybin3_ptbin2_isobin3,acc_lxybin4_ptbin1_isobin1,nevt_lxybin4_ptbin1_isobin1,acc_lxybin4_ptbin1_isobin2,nevt_lxybin4_ptbin1_isobin2,acc_lxybin4_ptbin1_isobin3,nevt_lxybin4_ptbin1_isobin3,acc_lxybin4_ptbin2_isobin1,nevt_lxybin4_ptbin2_isobin1,acc_lxybin4_ptbin2_isobin2,nevt_lxybin4_ptbin2_isobin2,acc_lxybin4_ptbin2_isobin3,nevt_lxybin4_ptbin2_isobin3,acc_lxybin5_ptbin1_isobin1,nevt_lxybin5_ptbin1_isobin1,acc_lxybin5_ptbin1_isobin2,nevt_lxybin5_ptbin1_isobin2,acc_lxybin5_ptbin1_isobin3,nevt_lxybin5_ptbin1_isobin3,acc_lxybin5_ptbin2_isobin1,nevt_lxybin5_ptbin2_isobin1,acc_lxybin5_ptbin2_isobin2,nevt_lxybin5_ptbin2_isobin2,acc_lxybin5_ptbin2_isobin3,nevt_lxybin5_ptbin2_isobin3,acc_lxybin6_ptbin1_isobin1,nevt_lxybin6_ptbin1_isobin1,acc_lxybin6_ptbin1_isobin2,nevt_lxybin6_ptbin1_isobin2,acc_lxybin6_ptbin1_isobin3,nevt_lxybin6_ptbin1_isobin3,acc_lxybin6_ptbin2_isobin1,nevt_lxybin6_ptbin2_isobin1,acc_lxybin6_ptbin2_isobin2,nevt_lxybin6_ptbin2_isobin2,acc_lxybin6_ptbin2_isobin3,nevt_lxybin6_ptbin2_isobin3
0.3,0.1,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,6.127744443435047e-06,1,0.0,0,2.1120191136982236e-05,2,0.0,0,0.0,0,0.0,0,8.063348529217538e-06,23,0.0,0,7.739156231806704e-06,10,0.0,0,0.0,0,0.0,0,3.550626534612374e-07,13,0.0,0,2.720511724630372e-07,3,0.0,0,0.0,0,0.0,0,6.65295848392258e-08,40,8.699848219678024e-11,7,2.3621662967256317e-08,3,0.0,0,0.0,0,0.0,0,8.848242356731188e-13,2,0.0,0,1.0142372324598923e-12,2,0.0,0,0.0,0,0.0,0
0.3,0.2,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,1.1094755689225445e-05,1,0.0,0,2.634854555488821e-05,2,0.0,0,0.0,0,0.0,0,5.395123517089364e-05,23,0.0,0,3.377235408075838e-05,10,0.0,0,0.0,0,0.0,0,1.0276398789465645e-05,13,0.0,0,4.109634116933963e-06,3,0.0,0,0.0,0,0.0,0,5.600428775293055e-06,40,1.234855933032901e-07,7,2.036094598369425e-06,3,0.0,0,0.0,0,0.0,0,1.2614230784696214e-08,2,0.0,0,1.1012799627965408e-08,2,0.0,0,0.0,0,0.0,0
0.3,0.4,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,1.055628985328626e-05,1,0.0,0,2.1220508944896145e-05,2,0.0,0,0.0,0,0.0,0,0.00011600400927899716,23,0.0,0,5.8517839950873194e-05,10,0.0,0,0.0,0,0.0,0,4.459858941410042e-05,13,0.0,0,1.2537343223866705e-05,3,0.0,0,0.0,0,0.0,0,6.311620002605541e-05,40,5.055855064645191e-06,7,1.3635436498729193e-05,3,0.0,0,0.0,0,0.0,0,1.1316826641837925e-06,2,0.0,0,9.930814176128445e-07,2,0.0,0,0.0,0,0.0,0
0.3,0.6,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,8.720898896506149e-06,1,0.0,0,1.6632499967778464e-05,2,0.0,0,0.0,0,0.0,0,0.00013003844327160043,23,0.0,0,6.0552707289956427e-05,10,0.0,0,0.0,0,0.0,0,6.2193755790397e-05,13,0.0,0,1.563470120433622e-05,3,0.0,0,0.0,0,0.0,0,0.00013527414322926846,40,1.63844128111773e-05,7,2.1657849361141088e-05,3,0.0,0,0.0,0,0.0,0,4.300026730427842e-06,2,0.0,0,3.998817045255817e-06,2,0.0,0,0.0,0,0.0,0
0.3,0.8,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,7.281034566664187e-06,1,0.0,0,1.353335188473585e-05,2,0.0,0,0.0,0,0.0,0,0.00012736018393159757,23,0.0,0,5.6846836508260254e-05,10,0.0,0,0.0,0,0.0,0,6.767321783296258e-05,13,0.0,0,1.61189042259947e-05,3,0.0,0,0.0,0,0.0,0,0.0001873847292694522,40,2.7752993623203272e-05,7,2.5088058635096223e-05,3,0.0,0,0.0,0,0.0,0,7.71487740266046e-06,2,0.0,0,7.486426705258247e-06,2,0.0,0,0.0,0,0.0,0
0.3,1.0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,6.211914364421124e-06,1,0.0,0,1.1371139077650135e-05,2,0.0,0,0.0,0,0.0,0,0.00011986076057845436,23,0.0,0,5.2113374164545376e-05,10,0.0,0,0.0,0,0.0,0,6.7747386413909e-05,13,0.0,0,1.5634012249363612e-05,3,0.0,0,0.0,0,0.0,0,0.0002188761714910906,40,3.6479361915181764e-05,7,2.6056687082272688e-05,3,0.0,0,0.0,0,0.0,0,1.0422674832909076e-05,2,0.0,0,1.0422674832909076e-05,2,0.0,0,0.0,0,0.0,0
0.3,2.0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,1.9431405924452313e-05,1,0.0,0,2.1371862109727166e-05,1,0.0,0,0.0,0,0.0,0,1.6448927241878584e-05,1,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.00017869472853654708,9,2.396562697617476e-05,2,3.15785548632808e-05,2,0.0,0,0.0,0,0.0,0,3.000817170781912e-05,3,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0
0.3,4.0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,1.1657610798502593e-05,1,0.0,0,1.208123492991587e-05,1,0.0,0,0.0,0,0.0,0,1.095146102871429e-05,1,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.00012621747413801715,9,1.9429525785265298e-05,2,2.1567525565701526e-05,2,0.0,0,0.0,0,0.0,0,2.725505574379178e-05,3,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0
0.3,6.0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,8.258415263672635e-06,1,0.0,0,8.390472097909476e-06,1,0.0,0,0.0,0,0.0,0,8.03222000916559e-06,1,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,9.462699353699075e-05,9,1.5228962468581122e-05,2,1.5954445674903984e-05,2,0.0,0,0.0,0,0.0,0,2.2175397136455598e-05,3,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0
0.3,8.0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,6.384798274535672e-06,1,0.0,0,6.4228952769211265e-06,1,0.0,0,0.0,0,0.0,0,6.318649868323357e-06,1,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,7.529476991544294e-05,9,1.2386356343962292e-05,2,1.2604751997316868e-05,2,0.0,0,0.0,0,0.0,0,1.837425115915187e-05,3,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0
