mass,ctau,acc_allbins,trigsf_unc,oneminuseff
0.6,55.0,0.0007078765688069921,0.127,0.3795918367346939
0.6,60.0,0.0006499744350746912,0.127,0.3795918367346939
0.6,65.0,0.0006008279165663439,0.127,0.3795918367346939
0.6,70.0,0.0005585908737114227,0.127,0.3795918367346939
0.6,75.0,0.0005219020412811607,0.127,0.3795918367346939
0.6,80.0,0.0004897353736696262,0.127,0.3795918367346939
0.6,85.0,0.00046130362582992736,0.127,0.3795918367346939
0.6,90.0,0.0004359918304164154,0.127,0.3795918367346939
0.6,95.0,0.000413313224220284,0.127,0.3795918367346939
0.6,100.0,0.0003928771808520217,0.127,0.3795918367346939
0.75,0.1,0.023401934597309975,0.127,0.22144104402168918
0.75,0.2,0.037983055455529796,0.127,0.22144104402168918
0.75,0.4,0.04847323492107224,0.127,0.22144104402168918
0.75,0.6,0.049729126354005775,0.127,0.22144104402168918
0.75,0.8,0.048067756988083035,0.127,0.22144104402168918
0.75,1.0,0.045511065691585036,0.127,0.22144104402168918
0.75,2.0,0.03312144901571712,0.314,0.1998673446827327
0.75,4.0,0.020810053233536994,0.314,0.1998673446827327
0.75,6.0,0.015066621941067936,0.314,0.1998673446827327
0.75,8.0,0.011792209314463748,0.314,0.1998673446827327
0.75,10.0,0.009682839333128721,0.314,0.1998673446827327
0.75,15.0,0.006819129947572425,0.314,0.24493554327808476
0.75,20.0,0.005202478025287503,0.314,0.24493554327808476
0.75,25.0,0.004205188905820405,0.314,0.24493554327808476
0.75,30.0,0.003528647455096365,0.314,0.24493554327808476
0.75,35.0,0.003039584134270514,0.314,0.24493554327808476
0.75,40.0,0.002669564783691422,0.314,0.24493554327808476
0.75,45.0,0.0023798469250681463,0.314,0.24493554327808476
0.75,50.0,0.0021468513321111354,0.314,0.24493554327808476
0.75,55.0,0.001955404994359499,0.314,0.24493554327808476
0.75,60.0,0.0017953059651778908,0.314,0.24493554327808476
0.75,65.0,0.0016594368424248124,0.314,0.24493554327808476
0.75,70.0,0.0015426859359029585,0.314,0.24493554327808476
0.75,75.0,0.001441282907951117,0.314,0.24493554327808476
0.75,80.0,0.0013523871755630062,0.314,0.24493554327808476
0.75,85.0,0.0012738195527509533,0.314,0.24493554327808476
0.75,90.0,0.001203879889333939,0.314,0.24493554327808476
0.75,95.0,0.001141221169384195,0.314,0.24493554327808476
0.75,100.0,0.0010847607266715495,0.314,0.24493554327808476
1.0,0.1,0.0693075493467499,0.127,0.21525488692985817
1.0,0.2,0.10162315109024771,0.127,0.21525488692985817
1.0,0.4,0.12018549623260709,0.127,0.21525488692985817
1.0,0.6,0.12058014476793773,0.127,0.21525488692985817
1.0,0.8,0.11575368516169197,0.127,0.21525488692985817
1.0,1.0,0.10942320776961498,0.127,0.21525488692985817
1.0,2.0,0.07985613688176611,0.127,0.19595257198894533
1.0,4.0,0.05072517206512968,0.127,0.19595257198894533
1.0,6.0,0.036933624991966355,0.127,0.19595257198894533
1.0,8.0,0.029002963412086892,0.127,0.19595257198894533
1.0,10.0,0.023866484276810963,0.127,0.19595257198894533
1.0,15.0,0.01645365126119311,0.248,0.22976098689282964
1.0,20.0,0.012578765157481943,0.248,0.22976098689282964
1.0,25.0,0.010180551067920549,0.248,0.22976098689282964
1.0,30.0,0.008550187464538382,0.248,0.22976098689282964
1.0,35.0,0.007369848475294264,0.248,0.22976098689282964
1.0,40.0,0.006475834344390197,0.248,0.22976098689282964
1.0,45.0,0.005775231960666099,0.248,0.22976098689282964
1.0,50.0,0.00521141200841164,0.248,0.22976098689282964
1.0,55.0,0.004747884928275395,0.248,0.22976098689282964
1.0,60.0,0.004360072643562022,0.248,0.22976098689282964
1.0,65.0,0.004030827401677384,0.248,0.22976098689282964
1.0,70.0,0.0037478144292086334,0.248,0.22976098689282964
1.0,75.0,0.00350193376493433,0.248,0.22976098689282964
1.0,80.0,0.0032863298015895523,0.248,0.22976098689282964
1.0,85.0,0.0030957333505233038,0.248,0.22976098689282964
1.0,90.0,0.0029260335228638444,0.248,0.22976098689282964
1.0,95.0,0.0027739693470158846,0.248,0.22976098689282964
1.0,100.0,0.0026369306762847352,0.248,0.22976098689282964
1.25,0.1,0.10597304823732415,0.085,0.22428381711250234
1.25,0.2,0.15178454157185503,0.085,0.22428381711250234
1.25,0.4,0.17683930170124082,0.085,0.22428381711250234
1.25,0.6,0.17760364899395326,0.085,0.22428381711250234
1.25,0.8,0.17148009532809175,0.085,0.22428381711250234
1.25,1.0,0.16320618266086837,0.085,0.22428381711250234
1.25,2.0,0.12396806618173971,0.314,0.19780038493263674
1.25,4.0,0.08047854367656236,0.314,0.19780038493263674
1.25,6.0,0.059170204105535786,0.314,0.19780038493263674
1.25,8.0,0.04671977207019179,0.314,0.19780038493263674
1.25,10.0,0.03858054111339106,0.314,0.19780038493263674
1.25,15.0,0.027243755376547968,0.127,0.2162540868752919
1.25,20.0,0.020885786638842593,0.127,0.2162540868752919
