mass,ctau = 1,ctau = 10,ctau = 100,what
1.17,2.467387790032018e-05,4.2341282859655606e-05,0.0003401890963860476,BRbrULdown
1.17,0.0001064124446071422,0.0002053095298374668,0.0015719782722555269,BRbrULupup
1.17,1.71600220788235e-05,2.8938286846527217e-05,0.00023559364287033745,BRbrULdowndown
1.17,4.264620871660279e-05,8.356564938488386e-05,0.0006671768248526365,BRbrULobs
1.17,0.857999,1.03196,1.04175,Significance
1.17,0.8579899999999999,1.03196,1.04177,posSignificance
1.18,1.880565090279184,3.2773881576292654,25.9158407704948,xsecBRbrUL
1.18,56.94643889119032,22.93003241340437,20.558597614423803,nevtUL
1.18,94.76126576644266,39.92035763538471,35.04751402839867,nevtULup
1.18,36.02123824875817,14.124071170304795,12.844228604820966,nevtULdown
1.18,154.99595047287232,69.03182950963152,58.856328027579,nevtULupup
1.18,25.11024077091856,9.669290776736783,8.849986782590054,nevtULdowndown
1.18,64.12079339716705,29.111471874246806,26.040890311603484,nevtULobs
1.18,3.868623760363838e-05,6.742112657561535e-05,0.0005331303760385017,BRbrUL
1.18,6.437552399135624e-05,0.00011737774445995684,0.0009088603553418268,BRbrULup
1.18,2.4470822211225324e-05,4.152897706238957e-05,0.00033307954922024503,BRbrULdown
1.18,0.00010529561258523096,0.00020297414461544443,0.0015262761051159394,BRbrULupup
1.18,1.7058498470895662e-05,2.8430595543934192e-05,0.0002294999333041931,BRbrULdowndown
1.18,4.356009430960857e-05,8.559640015548757e-05,0.0006752984763154356,BRbrULobs
1.18,0.519072,0.713639,0.72048,Significance
1.18,0.519072,0.713639,0.72048,posSignificance
1.19,2.0385145267613853,3.568601618940492,27.84089813965256,xsecBRbrUL
1.19,62.57639085968837,25.394260958328537,22.488715130293432,nevtUL
1.19,102.87982904050459,43.693583170346756,37.80018075091874,nevtULup
1.19,40.151921495925954,15.770433153927407,14.234878194175096,nevtULdown
1.19,166.36532000953466,74.95346180508038,62.840806817983065,nevtULupup
1.19,28.030586704703023,10.923395792586687,9.848781271600137,nevtULdowndown
1.19,57.879373628089475,25.42938441746869,22.727956780615703,nevtULobs
1.19,4.1935510633695576e-05,7.341185415845673e-05,0.0005727318911197032,BRbrUL
1.19,6.894482256726222e-05,0.00012631306579961296,0.0009626770084777992,BRbrULup
1.19,2.6907773166899094e-05,4.559048757558377e-05,0.00036252710129385484,BRbrULdown
