mass,ctau = 1,ctau = 10,ctau = 100,what
0.63,27.443237907206306,92.9901343599953,1041.326127056501,xsecBRbrUL
0.63,23.525240542258054,17.183068677722467,20.70731906170836,nevtUL
0.63,40.44987402589695,31.028025287479736,38.35270279296506,nevtULup
0.63,13.878199456583891,10.142023550757632,12.071091206588287,nevtULdown
0.63,67.02154859520999,52.114678569270794,62.75004648367928,nevtULupup
0.63,9.223925248583193,6.585018888171773,7.851116231927341,nevtULdowndown
0.63,43.58093122037013,32.23193455789341,40.099576154568894,nevtULobs
0.63,0.0005645513828685106,0.0019129560849770785,0.02142174720908156,BRbrUL
0.63,0.0009707034568746336,0.003454286943254788,0.03967591852753116,BRbrULup
0.63,0.0003330447006850207,0.001129090852704093,0.012487558799606788,BRbrULdown
0.63,0.0016083622130642465,0.00580182116218632,0.0649150007842974,BRbrULupup
0.63,0.00022135288033333693,0.0007330967586801756,0.008121989463158888,BRbrULdowndown
0.63,0.001045841590565766,0.003588315713539806,0.04148306118308402,BRbrULobs
0.63,-0.0102597,-0.00963766,-0.00954487,Significance
0.63,0.0,0.0,0.0,posSignificance
0.635,26.554787759131298,89.1402606352422,988.0308669536216,xsecBRbrUL
0.635,23.704217729336296,17.132866862548312,20.491548901672992,nevtUL
0.635,40.62321328336072,31.078223611134142,37.973849363240156,nevtULup
0.635,14.18728273019756,10.112755302035714,11.934638371304052,nevtULdown
0.635,67.76410198460822,51.948825547793206,62.129721195382146,nevtULupup
0.635,9.252575693607104,6.56475297280367,7.758538495238826,nevtULdowndown
0.635,43.44304587569812,33.658588941484716,41.35157720417528,nevtULobs
0.635,0.0005462745395382355,0.001833758012849891,0.02032537830053099,BRbrUL
0.635,0.0009361805305841136,0.0033263517442393372,0.03766591083664834,BRbrULup
0.635,0.000326952419574929,0.0010823842977286733,0.011837857691518051,BRbrULdown
0.635,0.0015616547245535428,0.0055601654918970116,0.06162589724486669,BRbrULupup
0.635,0.0002132298388532146,0.0007026359606268685,0.007695622753148099,BRbrULdowndown
0.635,0.001001164862425093,0.00360253235304065,0.04101624791915345,BRbrULobs
0.635,-0.0110396,1.08343e-05,1.16801e-06,Significance
0.635,0.0,0.0,0.0,posSignificance
0.64,20.730503455083912,70.38430796264322,761.014718993311,xsecBRbrUL
0.64,19.291137077564134,14.085487053972551,16.477252903302883,nevtUL
0.64,34.99963441215207,26.4325128726722,31.608115491549892,nevtULup
0.64,11.207232016489641,7.921851765277691,9.211019456969575,nevtULdown
0.64,58.24086146274124,42.69107647073589,49.98741185580473,nevtULupup
0.64,6.889691813415762,4.998076051409615,5.791615482224488,nevtULdowndown
0.64,23.88426495317464,17.424122835348935,20.601908947839146,nevtULobs
0.64,0.0004264596777064291,0.0014479180090523945,0.015655292332620408,BRbrUL
