mass,ctau = 0.1,ctau = 0.2,ctau = 0.5,ctau = 0.8,ctau = 1,ctau = 2,ctau = 5,ctau = 8,ctau = 10,ctau = 20,ctau = 50,ctau = 80,ctau = 100,what
0.61,245.8027146347454,99.80237313333672,41.954549025958144,35.14313919052319,34.254646902005,41.95443780579447,30.40468405286416,113.72046001337935,141.26181650671762,322.78944531004413,795.5721260718992,1272.2438629494031,1599.858830411981,xsecBRbrUL
0.61,76.59266690863141,55.90926248738643,35.55279648664935,28.493027258145155,26.574651840996285,24.067663595354038,21.284002402068907,23.271472286380725,23.685211690653055,27.724054888722982,28.174219394412546,28.373283821208094,28.57488950169219,nevtUL
0.61,154.1388971402217,103.57868312450523,59.64504445877879,48.342102426740645,44.95481449759315,41.679530367483686,37.868939338745975,40.159450438650076,40.865679709449616,49.1741646344322,49.95156267322025,50.319105364842294,50.68032530374155,nevtULup
0.61,37.89645206081683,30.08371789627915,21.498985169573842,17.688087146208087,16.61873040200632,14.780376937382126,12.784222222021905,14.282058078534005,14.581880852177038,16.787042409685473,16.98842509390136,17.125224835453764,17.257752512126252,nevtULdown
0.61,232.3003295156564,169.4421169746311,100.88628838329204,80.11663001517779,74.28649073707895,69.48476054470447,64.40483843742929,67.6731181939023,68.8377326494941,84.1047781333737,85.36159275577596,86.00032574822346,86.60606546688078,nevtULupup
0.61,20.947632997902808,17.475100836809215,13.635543123114926,11.605306046154627,11.028097593958114,9.966844218311318,8.63798798785264,9.736848647600269,9.997112411708207,11.445710733876462,11.535350372402158,11.644272413823959,11.722579591995874,nevtULdowndown
0.61,96.15609508288428,60.05683388852786,34.63260645993607,27.77269791734935,25.65564370816644,22.82180806806512,20.316547747429407,21.99881364571928,22.361090841420182,26.197960124206123,26.70608389247045,26.722394537584663,26.88260733502813,nevtULobs
0.61,0.005056555750786255,0.0020530947534871287,0.0008630723076597978,0.0007229506917308987,0.0007046729815041753,0.0008630700196827956,0.0006254730759455051,0.002339412105017606,0.0029059819444426363,0.006640296175739993,0.016366193576144744,0.02617209509324908,0.03291165999279955,BRbrUL
0.61,0.01017606460529716,0.0038036067984979134,0.0014479307184974966,0.0012265792634984908,0.001192054870728965,0.0014946341987918527,0.0011128546935653789,0.004037110472894965,0.005013884990097043,0.011777895357581641,0.029016489603363324,0.046415368024179525,0.058372006464712335,BRbrULup
0.61,0.002501878186734405,0.0011047314994035583,0.0005219049013378072,0.00044879804177676573,0.00044067445817408076,0.0005300265297346111,0.00037568999691531957,0.0014357329498675762,0.0017890776331613996,0.004020729794484767,0.009868449228295715,0.015796656309191456,0.019876937157896832,BRbrULdown
0.61,0.015336188365436869,0.006222237709875926,0.0024490945953828613,0.002032791130400645,0.0019698351356168585,0.002491733915648918,0.0018926652817571772,0.006802977909556409,0.008445827328397569,0.02014426240469136,0.04958591155452291,0.07932845269924295,0.09975014530821974,BRbrULupup
0.61,0.0013829375366608194,0.0006417190327417733,0.0003310136144671695,0.000294460253654439,0.00029242913353487383,0.00035741252579805184,0.0002538445925103511,0.0009788165231063247,0.0012265640072979401,0.0027414066780577953,0.0067007988587193135,0.010740914122830694,0.01350169888662042,BRbrULdowndown
0.61,0.006348109749782263,0.0022054014859416637,0.0008407339655791912,0.000704673848400623,0.0006803038870429357,0.0008183934539580393,0.0005970424815843457,0.0022114755055244557,0.002743523135529001,0.006274775285332288,0.01551336463048956,0.024649281181694637,0.030962542559543067,BRbrULobs
0.61,-0.0221845,-0.0115307,-0.0303762,0.124671,-0.0215787,0.0289928,-0.034570300000000005,-0.187131,-0.197547,-0.17493699999999998,-0.16916099999999998,-0.166683,-0.263075,Significance
0.61,0.0,0.0,0.00223678,0.0007218039999999999,0.0,0.00227746,0.0,0.00358175,0.00354638,0.0,0.00315114,0.0041152,0.0,posSignificance
0.615,236.22721741900062,97.82804582157615,40.473801877156355,34.25468904244818,33.26752221125371,40.47369916319014,30.404685133216724,108.48857471355369,134.944096578223,304.03467461125075,757.0801806372356,1205.1365950327695,1513.0825776821669,xsecBRbrUL
0.615,77.88641953184647,57.50989522387729,35.770716527031546,28.993981238905874,26.95944079154601,24.2432548432745,21.715677180648257,23.15556678899579,23.59900864815662,27.303550342171196,28.02629191862605,28.092055937394573,28.240513439790515,nevtUL
0.615,156.7167196179861,107.5336385972196,60.28674419555804,48.62967458513894,45.43905747655234,41.863962022044745,37.93192962074273,39.94809338665698,40.53436159902834,48.579044115291616,49.658058301711606,49.81105741560954,50.08868626405115,nevtULup
0.615,38.53636469941755,30.640993620794358,21.63692121635079,17.713902082559205,16.71965319119619,14.723342575549633,12.831991061292152,14.20095724821034,14.483956295393858,16.66580345561099,16.91808755974428,16.956466196445373,17.058522795333346,nevtULdown
0.615,236.16542420521438,174.38671558804364,97.80237372390819,78.5427733849323,73.35847835563116,69.77327003674124,65.71107510507849,67.29652440769115,68.60457963992275,82.61983415228428,84.91929911197776,85.12744223452901,85.60578340163505,nevtULupup
0.615,21.286133879576926,17.52571983613617,13.697567060351105,11.781416007739846,10.959772665999417,10.05208127647967,8.460653447005813,9.670978304048287,9.960956832469911,11.524225793773557,11.473605818055516,11.52671582689163,11.58726872382794,nevtULdowndown
0.615,89.538462236569,60.58560102293431,35.24724262663596,28.40908824561382,26.23945572589642,23.001527156179947,20.658095499772532,21.78603827099332,22.04530654257206,25.88518409062984,26.016583893170466,26.136425507682425,26.269388235578127,nevtULobs
