mass,ctau = 1,ctau = 10,ctau = 100,what
0.3,2019.7433309554049,7712.240888218758,162729.5173131609,xsecBRbrUL
0.3,235.37026754808616,178.81066263892842,191.63939236775173,nevtUL
0.3,412.6457232135802,296.4194421551055,386.8071025846109,nevtULup
0.3,154.72776630116124,124.21189966610744,114.46979143735436,nevtULdown
0.3,715.0838626974113,532.140532013451,582.3584519745199,nevtULupup
0.3,116.76481992243768,98.48605201091956,83.0927572536932,nevtULdowndown
0.3,202.12392965884038,185.61977267221886,170.89381344935853,nevtULobs
0.3,1.5186040082371467e-08,5.798677359562976e-08,1.2235302053621125e-06,BRbrUL
0.3,2.662381513952417e-08,9.612629821913612e-08,2.4695871126155404e-06,BRbrULup
0.3,9.983002888948985e-09,4.0280860198845786e-08,7.308374635019587e-07,BRbrULdown
0.3,4.613706019160363e-08,1.7256863822059414e-07,3.718093381194879e-06,BRbrULupup
0.3,7.533641585340683e-09,3.1938187108095335e-08,5.305093962707815e-07,BRbrULdowndown
0.3,1.3040993364969044e-08,6.019490993415135e-08,1.091079136086812e-06,BRbrULobs
0.3,-0.20899600000000002,1.18341,-0.178351,Significance
0.3,0.0,1.18341,0.0,posSignificance
0.302,935.370414689792,3470.72581448526,53183.50223179924,xsecBRbrUL
0.302,118.74727492409815,88.11720400949024,78.70100631188727,nevtUL
0.302,239.62510781517219,175.23179440487735,158.85470720276209,nevtULup
0.302,66.79925861165627,50.49412814026969,38.93075472231655,nevtULdown
0.302,360.753594584714,267.785563656774,239.16900749432912,nevtULupup
0.302,44.05241914070765,33.38703334963476,23.36721280070041,nevtULdowndown
0.302,225.52582715136106,159.69128338627854,143.0137663163142,nevtULobs
0.302,7.032860260825503e-09,2.6095682815678642e-08,3.9987595663006953e-07,BRbrUL
0.302,1.4191903766436266e-08,5.189444419411447e-08,8.071329832322549e-07,BRbrULup
0.302,3.956215851208437e-09,1.4953705883141695e-08,1.9780525709193584e-07,BRbrULdown
