mass,ctau = 1,ctau = 10,ctau = 100,what
0.304,915.7331104003376,3742.3215824223216,45312.580787628875,xsecBRbrUL
0.304,126.08906249287979,103.57608935225042,81.14782947758492,nevtUL
0.304,254.55716390071962,209.06569843389053,163.78705326128892,nevtULup
0.304,68.24443058913819,50.47591686168657,41.03109811239443,nevtULdown
0.304,383.2971554702691,314.76032748653665,246.586069292077,nevtULupup
0.304,43.842288575691356,32.775859364831945,24.72341156274741,nevtULdowndown
0.304,135.6052181527198,114.57882779624116,76.17651512385473,nevtULobs
0.304,6.885211356393516e-09,2.8137756258814453e-08,3.406960961475856e-07,BRbrUL
0.304,1.3900332361020873e-08,5.679534438305963e-08,6.876537549417958e-07,BRbrULup
0.304,3.72655105219358e-09,1.3712421993111876e-08,1.7226751519463306e-07,BRbrULdown
0.304,2.093030018258924e-08,8.550862877860097e-08,1.035282295448144e-06,BRbrULupup
0.304,2.3940492317379074e-09,8.90397723787768e-09,1.0380030935029272e-07,BRbrULdowndown
0.304,7.404849949328875e-09,3.1126789485041116e-08,3.1982422065883734e-07,BRbrULobs
0.304,-0.00263574,-0.0134588,-0.011560299999999999,Significance
0.304,0.0,0.0,0.0,posSignificance
0.306,862.9828113455351,2933.9065333918866,38676.99471704675,xsecBRbrUL
0.306,128.36666949761835,88.1594290574992,81.63282050425333,nevtUL
0.306,259.0833009082366,177.92229670344742,164.7779433567136,nevtULup
0.306,70.86603893890259,48.66733049014525,42.176432155548866,nevtULdown
0.306,390.0936775579799,267.8781708461533,248.0805977037788,nevtULupup
0.306,45.6039483741539,31.682758775463682,25.50960002635165,nevtULdowndown
0.306,168.0957130892726,120.89630023833212,86.30625484419836,nevtULobs
0.306,6.488592566507782e-09,2.205944761948787e-08,2.908044715567425e-07,BRbrUL
0.306,1.3095969436292596e-08,4.452011119433187e-08,5.869962895568364e-07,BRbrULup
0.306,3.5820891456979467e-09,1.2177647237568413e-08,1.5024710636457968e-07,BRbrULdown
0.306,1.9718194343987042e-08,6.702906928232056e-08,8.83749289478113e-07,BRbrULupup
0.306,2.3051578854698708e-09,7.927730080833128e-09,9.08740591034771e-08,BRbrULdowndown
0.306,8.496789693785077e-09,3.0250940041342154e-08,3.074528685518217e-07,BRbrULobs
0.306,0.165305,0.054781899999999994,-0.017536000000000003,Significance
0.306,0.16534400000000002,0.0549995,0.0,posSignificance
0.308,819.6068181329056,2780.373399530679,32678.771758082377,xsecBRbrUL
0.308,131.22663189469884,90.36393902464084,79.70008208662536,nevtUL
0.308,264.90388161393724,182.39860687747054,160.8785805357345,nevtULup
0.308,73.12327379674484,50.105800145396394,41.39565814954572,nevtULdown
0.308,398.81828789684073,274.60998643328185,242.2159171064328,nevtULupup
0.308,46.64079085413994,32.466759247786506,25.218606381541427,nevtULdowndown
0.308,180.00183182182482,112.14767259218092,89.90237681946795,nevtULobs
0.308,6.162457279194778e-09,2.0905063154366002e-08,2.457050508126495e-07,BRbrUL
0.308,1.2439996591916688e-08,4.219663769860828e-08,4.959678681665118e-07,BRbrULup
0.308,3.433899387503115e-09,1.1591625240616456e-08,1.276174631539562e-07,BRbrULdown
0.308,1.872867287562509e-08,6.352909325524133e-08,7.467203629173635e-07,BRbrULupup
0.308,2.1902709606776614e-09,7.510956912884211e-09,7.774570364514924e-08,BRbrULdowndown
0.308,8.45296097875091e-09,2.5944577045445166e-08,2.7715740669622486e-07,BRbrULobs
0.308,0.0218048,-0.011341500000000001,-0.015005200000000002,Significance
0.308,0.021446700000000003,0.000584647,0.0074455,posSignificance
0.31,1080.3931982902986,3573.8089490950706,40130.710005155786,xsecBRbrUL
0.31,185.57227003910373,125.19068999496149,111.37459129045578,nevtUL
0.31,374.45227249663765,248.4239221278183,224.7896757831209,nevtULup
0.31,97.87495412482895,68.06063663902086,56.92416994930686,nevtULdown
0.31,563.7563432129444,380.4050854143288,338.44235195001596,nevtULupup
0.31,60.89620195981558,43.029427694407694,33.933681472358714,nevtULdowndown
0.31,204.65534168389274,138.11337641204207,116.71341597020908,nevtULobs
0.31,8.123257130002245e-09,2.6870743978158432e-08,3.0173466169290065e-07,BRbrUL
0.31,1.6391307234442374e-08,5.332134210471427e-08,6.089974022673628e-07,BRbrULup
0.31,4.284386987213251e-09,1.4608434079173169e-08,1.5421825537397215e-07,BRbrULdown
0.31,2.467792054073351e-08,8.164958319639673e-08,9.169038232595407e-07,BRbrULupup
0.31,2.665675785805125e-09,9.235772525494055e-09,9.19327090714472e-08,BRbrULdowndown
0.31,8.958601213297725e-09,2.96444502197118e-08,3.161985393145204e-07,BRbrULobs
0.31,0.238292,0.228871,0.0865947,Significance
0.31,0.23827199999999998,0.228863,0.0866704,posSignificance
0.312,1032.1025444013271,3342.929196257689,35167.52711788787,xsecBRbrUL
0.312,189.592516567386,125.80315299156692,109.70244888353642,nevtUL
0.312,382.63216979963363,253.17000306086268,221.42444522242909,nevtULup
0.312,100.05767740374485,68.393131709236,56.373773890532945,nevtULdown
0.312,576.1253936456787,382.2867046219025,333.38310727874637,nevtULupup
0.312,62.22988821302717,43.24367037576353,33.8589753062087,nevtULdowndown
0.312,183.69609858801758,149.9101496065535,107.46201342525043,nevtULobs
0.312,7.760169506776896e-09,2.5134805986899918e-08,2.6441749712697644e-07,BRbrUL
0.312,1.56614330045861e-08,5.058203039683915e-08,5.337027404976249e-07,BRbrULup
0.312,4.095438739700917e-09,1.366458674102846e-08,1.3587857288000673e-07,BRbrULdown
0.312,2.3581261501215347e-08,7.637886589922709e-08,8.03558422881204e-07,BRbrULupup
0.312,2.5471178381095462e-09,8.63985710381304e-09,8.161080811656715e-08,BRbrULdowndown
0.312,7.51882452211637e-09,2.995125667542248e-08,2.5901734113790256e-07,BRbrULobs
0.312,-0.00792725,0.0843174,-0.00626465,Significance
0.312,0.00756248,0.0843393,0.0,posSignificance
0.314,998.1113861335216,3189.030603009603,32140.254509825205,xsecBRbrUL
0.314,195.51762561202042,128.53021381471166,111.55330456822428,nevtUL
0.314,394.71148564920503,259.4335999248384,225.16914653127827,nevtULup
0.314,103.22479293816221,69.87895565659419,57.627647382036216,nevtULdown
0.314,594.2923177311436,390.59624015127116,338.99653079123783,nevtULupup
0.314,64.14061641799583,44.19285551798309,34.869221939941156,nevtULdowndown
0.314,164.55986203169059,113.2741062013285,104.41375204765998,nevtULobs
0.314,7.504596888221966e-09,2.3977673706839124e-08,2.4165604894605424e-07,BRbrUL
0.314,1.5150299507147758e-08,4.839806939523199e-08,4.877801379879819e-07,BRbrULup
0.314,3.962100385815358e-09,1.3036116162725259e-08,1.2483780404624702e-07,BRbrULdown
0.314,2.281085536088448e-08,7.286682966984501e-08,7.343624875525635e-07,BRbrULupup
0.314,2.461923669911511e-09,8.244301774143599e-09,7.553660948408582e-08,BRbrULdowndown
0.314,6.3163381033476326e-09,2.1131603825422218e-08,2.2618975630649162e-07,BRbrULobs
0.314,-0.0156476,-0.0241573,-0.015255700000000002,Significance
0.314,0.0,0.00420859,0.00466569,posSignificance
0.316,972.4094291686256,3151.2915330318024,28896.23539812563,xsecBRbrUL
0.316,202.5744379025203,135.62852758478618,110.64455264700396,nevtUL
0.316,408.87357849300855,273.7706669576993,223.34024901362926,nevtULup
0.316,106.87427298321201,73.74681364826915,57.764114084955985,nevtULdown
0.316,615.5739992073386,412.1684278683882,336.2312924011709,nevtULupup
0.316,66.4684512825214,46.62962884923778,35.00618614820464,nevtULdowndown
0.316,114.5088845701518,81.0320274748746,73.95838211891895,nevtULobs
0.316,7.311349091493425e-09,2.3693921300990992e-08,2.1726492780545587e-07,BRbrUL
0.316,1.475713074958176e-08,4.782696349306364e-08,4.3855754230222046e-07,BRbrULup
0.316,3.857323395639079e-09,1.288336038071789e-08,1.1342732901142886e-07,BRbrULdown
