mass,ctau,acc_allbins,trigsf_unc,oneminuseff
0.5,0.4,0.005912971772775733,0.127,0.40331615505265517
0.5,0.6,0.006705180233553705,0.127,0.40331615505265517
0.5,0.8,0.006900928264355297,0.127,0.40331615505265517
0.5,1.0,0.006830735400544255,0.127,0.40331615505265517
0.5,2.0,0.005428126232340597,0.314,0.3529411764705882
0.5,4.0,0.0037120789729433437,0.314,0.3529411764705882
0.5,6.0,0.0027798808490875834,0.314,0.3529411764705882
0.5,8.0,0.0022154580751168915,0.314,0.3529411764705882
0.5,10.0,0.0018397660256359123,0.314,0.3529411764705882
0.5,15.0,0.001555318855851747,0.199,0.3602941176470589
0.5,20.0,0.001195552656567404,0.199,0.3602941176470589
0.5,25.0,0.0009708934101587342,0.199,0.3602941176470589
0.5,30.0,0.0008172876397243797,0.199,0.3602941176470589
0.5,35.0,0.0007056368410767483,0.199,0.3602941176470589
0.5,40.0,0.0006208202747077369,0.199,0.3602941176470589
0.5,45.0,0.0005542029547017204,0.199,0.3602941176470589
0.5,50.0,0.0005004954980427733,0.199,0.3602941176470589
0.5,55.0,0.0004562770043888731,0.199,0.3602941176470589
0.5,60.0,0.0004192370286419771,0.199,0.3602941176470589
0.5,65.0,0.00038775885630464127,0.199,0.3602941176470589
0.5,70.0,0.0003606773294400812,0.199,0.3602941176470589
0.5,75.0,0.00033713149308188756,0.199,0.3602941176470589
0.5,80.0,0.00031647138210142605,0.199,0.3602941176470589
0.5,85.0,0.0002981971440003469,0.199,0.3602941176470589
0.5,90.0,0.000281918072765227,0.199,0.3602941176470589
0.5,95.0,0.00026732434485182634,0.199,0.3602941176470589
0.5,100.0,0.0002541671193795081,0.199,0.3602941176470589
0.6,0.1,0.0019662197809706097,0.314,0.41508078994614006
0.6,0.2,0.004322853450752444,0.314,0.41508078994614006
0.6,0.4,0.006860700851293127,0.314,0.41508078994614006
0.6,0.6,0.00782488347463612,0.314,0.41508078994614006
0.6,0.8,0.00811258908649652,0.314,0.41508078994614006
0.6,1.0,0.00809708283681518,0.314,0.41508078994614006
0.6,2.0,0.006869778832368215,0.127,0.31366047745358094
0.6,4.0,0.004881022837944055,0.127,0.31366047745358094
0.6,6.0,0.0037352409394425154,0.127,0.31366047745358094
0.6,8.0,0.0030169022843545795,0.127,0.31366047745358094
0.6,10.0,0.0025279132141777386,0.127,0.31366047745358094
0.6,15.0,0.00182669008764866,0.314,0.25595238095238093
0.6,20.0,0.0014160435445251705,0.314,0.25595238095238093
0.6,25.0,0.0011559148317075879,0.314,0.25595238095238093
0.6,30.0,0.0009764444174829108,0.314,0.25595238095238093
0.6,35.0,0.0008451788881385177,0.314,0.25595238095238093
0.6,40.0,0.0007450064203245196,0.314,0.25595238095238093
0.6,45.0,0.0006660538633964003,0.314,0.25595238095238093
0.6,50.0,0.0006022265910731086,0.314,0.25595238095238093
0.6,55.0,0.0005495593160292394,0.314,0.25595238095238093
0.6,60.0,0.0005053610993058267,0.314,0.25595238095238093
0.6,65.0,0.0004677415869996367,0.314,0.25595238095238093
0.6,70.0,0.0004353339519711646,0.314,0.25595238095238093
0.6,75.0,0.0004071254359977164,0.314,0.25595238095238093
0.6,80.0,0.00038234966051822517,0.314,0.25595238095238093
0.6,85.0,0.00036041604247073446,0.314,0.25595238095238093
0.6,90.0,0.0003408621003483717,0.314,0.25595238095238093
0.6,95.0,0.0003233205272712266,0.314,0.25595238095238093
0.6,100.0,0.00030749590112242025,0.314,0.25595238095238093
0.75,0.1,0.0024709988772873056,0.04,0.41701023056955255
0.75,0.2,0.00525536865239117,0.04,0.41701023056955255
0.75,0.4,0.008229497008455504,0.04,0.41701023056955255
0.75,0.6,0.009390322249302552,0.04,0.41701023056955255
0.75,0.8,0.009759981270419937,0.04,0.41701023056955255
0.75,1.0,0.009764446354907487,0.04,0.41701023056955255
0.75,2.0,0.007815178632067188,0.314,0.3237747653806048
0.75,4.0,0.00574213123015048,0.314,0.3237747653806048
0.75,6.0,0.0044770972631466505,0.314,0.3237747653806048
0.75,8.0,0.003657501408933465,0.314,0.3237747653806048
0.75,10.0,0.0030880317654946535,0.314,0.3237747653806048
0.75,15.0,0.002427025497938596,0.127,0.29957805907172996
0.75,20.0,0.0019028616399175218,0.127,0.29957805907172996
0.75,25.0,0.0015643601597689174,0.127,0.29957805907172996
0.75,30.0,0.0013279032278982314,0.127,0.29957805907172996
0.75,35.0,0.001153454052258735,0.127,0.29957805907172996
0.75,40.0,0.0010194741311264142,0.127,0.29957805907172996
0.75,45.0,0.0009133562570087476,0.127,0.29957805907172996
0.75,50.0,0.0008272336215221122,0.127,0.29957805907172996
0.75,55.0,0.0007559444526898219,0.127,0.29957805907172996
0.75,60.0,0.0006959621109109062,0.127,0.29957805907172996
0.75,65.0,0.0006447953092724976,0.127,0.29957805907172996
0.75,70.0,0.0006006343203602173,0.127,0.29957805907172996
0.75,75.0,0.0005621328884433864,0.127,0.29957805907172996
0.75,80.0,0.0005282688547586403,0.127,0.29957805907172996
0.75,85.0,0.00049825215917935,0.127,0.29957805907172996
0.75,90.0,0.00047146251619355786,0.127,0.29957805907172996
0.75,95.0,0.00044740617778867703,0.127,0.29957805907172996
0.75,100.0,0.00042568519815055117,0.127,0.29957805907172996
1.0,0.1,0.0025509464166252704,0.127,0.44289269911504425
1.0,0.2,0.0054140482296375185,0.127,0.44289269911504425
1.0,0.4,0.008596795580378914,0.127,0.44289269911504425
1.0,0.6,0.009943848360786985,0.127,0.44289269911504425
1.0,0.8,0.010467009276951173,0.127,0.44289269911504425
1.0,1.0,0.010611458393654597,0.127,0.44289269911504425
1.0,2.0,0.009211139261522162,0.027,0.29844290657439443
1.0,4.0,0.007170711642774631,0.027,0.29844290657439443
1.0,6.0,0.005785164354008086,0.027,0.29844290657439443
1.0,8.0,0.004830319371250405,0.027,0.29844290657439443
1.0,10.0,0.0041397111586140905,0.027,0.29844290657439443
1.0,15.0,0.0032404671449973686,0.314,0.32698412698412693
1.0,20.0,0.0025600498811061663,0.314,0.32698412698412693
1.0,25.0,0.002114947388574489,0.314,0.32698412698412693
1.0,30.0,0.0018013750515549652,0.314,0.32698412698412693
1.0,35.0,0.0015686364065842723,0.314,0.32698412698412693
1.0,40.0,0.0013890845118773457,0.314,0.32698412698412693
1.0,45.0,0.001246375907244239,0.314,0.32698412698412693
1.0,50.0,0.0011302350502186932,0.314,0.32698412698412693
1.0,55.0,0.0010338797751597837,0.314,0.32698412698412693
1.0,60.0,0.0009526538628789263,0.314,0.32698412698412693
1.0,65.0,0.0008832551487752164,0.314,0.32698412698412693
1.0,70.0,0.0008232768235544745,0.314,0.32698412698412693
1.0,75.0,0.000770923368927966,0.314,0.32698412698412693
1.0,80.0,0.0007248281865851746,0.314,0.32698412698412693
1.0,85.0,0.00068393271810762,0.314,0.32698412698412693
1.0,90.0,0.0006474043389941532,0.314,0.32698412698412693
1.0,95.0,0.0006145791487270752,0.314,0.32698412698412693
1.0,100.0,0.0005849213167480747,0.314,0.32698412698412693
1.25,0.1,0.002534616838593081,0.127,0.46698630136986297
1.25,0.2,0.005581692533890164,0.127,0.46698630136986297
1.25,0.4,0.00894932011779139,0.127,0.46698630136986297
1.25,0.6,0.010361203260145408,0.127,0.46698630136986297
1.25,0.8,0.01093008847309625,0.127,0.46698630136986297
1.25,1.0,0.01112517210388808,0.127,0.46698630136986297
1.25,2.0,0.010217159158820351,0.314,0.2820606503470954
1.25,4.0,0.008304389592787006,0.314,0.2820606503470954
1.25,6.0,0.006872959248459659,0.314,0.2820606503470954
1.25,8.0,0.005835746212686974,0.314,0.2820606503470954
1.25,10.0,0.005060828245410486,0.314,0.2820606503470954
1.25,15.0,0.00362046732683627,0.314,0.29427083333333337
1.25,20.0,0.0028965987597633107,0.314,0.29427083333333337
1.25,25.0,0.0024122986488303885,0.314,0.29427083333333337
1.25,30.0,0.0020661029995038068,0.314,0.29427083333333337
1.25,35.0,0.0018065120522271607,0.314,0.29427083333333337
1.25,40.0,0.0016047241492663543,0.314,0.29427083333333337
1.25,45.0,0.0014434053403413675,0.314,0.29427083333333337
1.25,50.0,0.0013115103228284164,0.314,0.29427083333333337
1.25,55.0,0.001201672343009419,0.314,0.29427083333333337
1.25,60.0,0.0011087914266235785,0.314,0.29427083333333337
1.25,65.0,0.001029225853257523,0.314,0.29427083333333337
1.25,70.0,0.0009603061051489894,0.314,0.29427083333333337
1.25,75.0,0.0009000310446574151,0.314,0.29427083333333337
1.25,80.0,0.0008468712096688534,0.314,0.29427083333333337
1.25,85.0,0.0007996375803250236,0.314,0.29427083333333337
1.25,90.0,0.0007573920107644208,0.314,0.29427083333333337
1.25,95.0,0.000719384311216624,0.314,0.29427083333333337
1.25,100.0,0.0006850075244721206,0.314,0.29427083333333337
1.5,0.1,0.002190698903301471,0.314,0.47299864314789686
1.5,0.2,0.0047943088060123625,0.314,0.47299864314789686
1.5,0.4,0.007971530198862993,0.314,0.47299864314789686
1.5,0.6,0.00955810286785401,0.314,0.47299864314789686
1.5,0.8,0.010371782220722598,0.314,0.47299864314789686
